"uf","descricao"
"SP","VERA CRUZ"
"MG","ANTONIO DIAS"
"PA","AURORA DO PARA"
"PR","PALOTINA"
"MT","INDIAVAI"
"GO","SAO FRANCISCO DE GOIAS"
"SP","RINOPOLIS"
"SP","PIRACAIA"
"MT","MIRASSOL D'OESTE"
"PR","SAO PEDRO DO IGUACU"
"SP","CONCHAL"
"RS","LIBERATO SALZANO"
"SP","LIMEIRA"
"RS","RONDA ALTA"
"PB","VISTA SERRANA"
"PB","CABEDELO"
"AL","MACEIO"
"SP","CABRALIA PAULISTA"
"TO","BABACULANDIA"
"PE","PRIMAVERA"
"PB","BOM SUCESSO"
"BA","VITORIA DA CONQUISTA"
"SP","BARRA DO TURVO"
"MG","TAIOBEIRAS"
"MA","PORTO RICO DO MARANHAO"
"MG","CONCEICAO DA BARRA DE MINAS"
"TO","LAVANDEIRA"
"RO","SANTA LUZIA D'OESTE"
"AM","ITAMARATI"
"RJ","SAQUAREMA"
"PR","XAMBRE"
"SP","PRESIDENTE EPITACIO"
"BA","PEDRO ALEXANDRE"
"SP","GUARA"
"PR","CIDADE GAUCHA"
"MA","PARNARAMA"
"SP","PIRATININGA"
"BA","CAMPO ALEGRE DE LOURDES"
"PE","IBIRAJUBA"
"MG","BUGRE"
"MS","NAVIRAI"
"MG","ALVINOPOLIS"
"SC","TAIO"
"SC","OURO"
"PA","BAGRE"
"GO","MONTIVIDIU"
"PR","RENASCENCA"
"SP","VOTUPORANGA"
"PI","SUSSUAPARA"
"MG","RIO DOCE"
"SC","FAXINAL DOS GUEDES"
"MS","BODOQUENA"
"PI","FRONTEIRAS"
"SP","MARILIA"
"RS","ITAQUI"
"MG","SILVEIRANIA"
"GO","MORRO AGUDO DE GOIAS"
"PB","AROEIRAS"
"PR","BOA ESPERANCA"
"BA","SAO FRANCISCO DO CONDE"
"PB","IBIARA"
"CE","MOMBACA"
"MG","UMBURATIBA"
"TO","ANGICO"
"MG","SANTA CRUZ DE SALINAS"
"BA","TANQUE NOVO"
"RN","RUY BARBOSA"
"AM","ANAMA"
"MG","CRISTIANO OTONI"
"SP","IACRI"
"SP","SOROCABA"
"MG","MESQUITA"
"MG","SENHORA DOS REMEDIOS"
"PR","PORTO BARREIRO"
"MA","CONCEICAO DO LAGO-ACU"
"MG","PASSOS"
"MA","DUQUE BACELAR"
"ES","SAO MATEUS"
"TO","GOIATINS"
"RS","JAQUIRANA"
"MG","SAO SEBASTIAO DA BELA VISTA"
"PA","PRIMAVERA"
"TO","ITAPORA DO TOCANTINS"
"MS","APARECIDA DO TABOADO"
"MA","MIRADOR"
"MS","SONORA"
"SP","CACHOEIRA PAULISTA"
"AL","VICOSA"
"RS","GRAMADO DOS LOUREIROS"
"GO","SENADOR CANEDO"
"SP","RIBEIRAO DO SUL"
"MA","SITIO NOVO"
"PI","CRISTINO CASTRO"
"AL","BELO MONTE"
"BA","SAO JOSE DO JACUIPE"
"PE","VERTENTES"
"ES","SANTA LEOPOLDINA"
"PA","TOME-ACU"
"MG","ARAPONGA"
"SP","BAURU"
"CE","GROAIRAS"
"CE","POTENGI"
"PB","ALAGOA GRANDE"
"RS","HERVAL"
"MA","SERRANO DO MARANHAO"
"MG","JACUI"
"MA","AFONSO CUNHA"
"RS","IBIRAIARAS"
"MT","SANTO AFONSO"
"PR","GUARAPUAVA"
"CE","SAO GONCALO DO AMARANTE"
"PR","TIJUCAS DO SUL"
"AL","MARIBONDO"
